DemandAggregatedForecast,WindAggregatedForecast,MULTI_FUEL_-24,GAS_-24,,,GasPrice,CarbonPrice,cost
4033,490.34,-2744.9,-726,71.76,,45.24,26.29,45.9927
3642,476.64,-2744.9,-728,-307.54,,45.24,26.29,45.9927
3506,484.83,-2745.1,-727,-450.93,,45.24,26.29,45.9927
3395,503.77,-2745.5,-728,-582.27,,45.24,26.29,45.9927
3320,504.28,-2745.4,-728,-657.68,,45.24,26.29,45.9927
3247,467.6,-2745.8,-730,-696.4,,45.24,26.29,45.9927
3287,425.1,-2747.4,-730,-615.5,,45.24,26.29,45.9927
3617,387.9,-2747.3,-730,-248.2,,45.24,26.29,45.9927
4266,369.11,-2765,-732,399.89,,45.24,26.29,45.9927
4972,378.17,-2764.9,-731,1097.93,,45.24,26.29,45.9927
5137,364.67,-2761.7,-731,1279.63,,45.24,26.29,45.9927
5088,360.78,-2757.1,-730,1240.12,,45.24,26.29,45.9927
5117,358.41,-2755.6,-728,1274.99,,45.24,26.29,45.9927
5145,346.9,-2756.4,-726,1315.7,,45.24,26.29,45.9927
5127,338.51,-2757.8,-725,1305.69,,45.24,26.29,45.9927
4982,316.56,-2762.2,-723,1180.24,,45.24,26.29,45.9927
4999,282.35,-2763.2,-723,1230.45,,45.24,26.29,45.9927
5082,239.42,-2763.2,-722,1357.38,,45.24,26.29,45.9927
5338,206.07,-2764.6,-723,1644.33,,45.24,26.29,45.9927
5337,178.04,-2765.6,-725,1668.36,,45.24,26.29,45.9927
5204,157.62,-3158.2,-727,1161.18,,45.24,26.29,45.9927
5187,155.43,-3159.2,-730,1142.37,,45.24,26.29,45.9927
5236,213.63,-3159.2,-731,1132.17,,45.24,26.29,45.9927
4829,254.8,-3144,-732,698.2,,45.24,26.29,45.9927
4081,334.44,-3095.5,-734,-82.94,,49.79,26.89,49.8212
3660,331.32,-3133.3,-735,-539.62,,49.79,26.89,49.8212
3525,333.72,-3132.9,-737,-678.62,,49.79,26.89,49.8212
3406,336.89,-3134.2,-737,-802.09,,49.79,26.89,49.8212
3325,338.8,-3136.4,-738,-888.2,,49.79,26.89,49.8212
3240,330.56,-3137,-740,-967.56,,49.79,26.89,49.8212
3272,310.81,-3137.7,-740,-916.51,,49.79,26.89,49.8212
3618,276.81,-3135.9,-741,-535.71,,49.79,26.89,49.8212
4242,258.88,-3151.5,-742,89.62,,49.79,26.89,49.8212
4966,273.45,-3150.7,-742,799.85,,49.79,26.89,49.8212
5102,283.79,-3149.2,-742,927.01,,49.79,26.89,49.8212
5028,302.24,-3148.1,-739,838.66,,49.79,26.89,49.8212
5060,341.19,-3067,-738,913.81,,49.79,26.89,49.8212
5124,367.3,-3074.8,-735,946.9,,49.79,26.89,49.8212
5089,379.59,-3146,-734,829.41,,49.79,26.89,49.8212
4959,372.78,-3146,-732,,,49.79,26.89,49.8212
4961,367.77,-3144,-731,,,49.79,26.89,49.8212
5039,339.17,-3146.9,-732,,,49.79,26.89,49.8212
5329,307.21,-3149.9,-731,,,49.79,26.89,49.8212
5365,293.43,-3152.9,-732,,,49.79,26.89,49.8212
5245,300.12,-3154.3,-734,,,49.79,26.89,49.8212
5233,343.61,-3157,-735,,,49.79,26.89,49.8212
5305,454.21,-3157.8,-736,,,49.79,26.89,49.8212
4917,581.96,-3138.2,-736,,,49.79,26.89,49.8212
4119,552.81,-3092.1,-739,,,47.07,28.09,48.1404
3793,633.56,-3130.7,-740,,,47.07,28.09,48.1404
3712,706.95,-3130.7,-740,,,47.07,28.09,48.1404
3575,779.23,-3130.7,-741,,,47.07,28.09,48.1404
3476,856.94,-3130.7,-741,,,47.07,28.09,48.1404
3427,913.9,-3100.8,-741,,,47.07,28.09,48.1404
3473,997.66,-3100.8,-742,,,47.07,28.09,48.1404
3675,1105.41,-3100.8,-742,,,47.07,28.09,48.1404
4295,1221.33,-3112.7,-743,,,47.07,28.09,48.1404
5022,1316.29,-3142.5,-743,,,47.07,28.09,48.1404
5117,1408.97,-3141.5,-742,,,47.07,28.09,48.1404
5109,1508.51,-3139.6,-739,,,47.07,28.09,48.1404
5037,1603.76,-3138.6,-737,,,47.07,28.09,48.1404
4983,1695.52,-3138.6,-734,,,47.07,28.09,48.1404
5015,1842.41,-3137.6,-733,,,47.07,28.09,48.1404
4874,1982.55,-3137.6,-731,,,47.07,28.09,48.1404
4838,2140.01,-3137.6,-730,,,47.07,28.09,48.1404
4894,2183.21,-3137.6,-730,,,47.07,28.09,48.1404
5048,2151.83,-3138.6,-729,,,47.07,28.09,48.1404
5115,2098.5,-3139.6,-732,,,47.07,28.09,48.1404
4990,2090.07,-3140.5,-733,,,47.07,28.09,48.1404
4982,2029.84,-3140.5,-735,,,47.07,28.09,48.1404
5037,2051.15,-3140.5,-738,,,47.07,28.09,48.1404
4610,2147.58,-3129.7,-739,,,47.07,28.09,48.1404
4160,2300.52,-3136.8,-740,,,46.64,27.32,47.5004
3736,2321.71,-3134.8,-740,,,46.64,27.32,47.5004
3548,2411.34,-3134.8,-741,,,46.64,27.32,47.5004
3315,2456.05,-3134.8,-741,,,46.64,27.32,47.5004
3203,2601.66,-3135.8,-741,,,46.64,27.32,47.5004
3161,2737.21,-3135.8,-742,,,46.64,27.32,47.5004
3156,2832.44,-3135.8,-742,,,46.64,27.32,47.5004
3246,2836.84,-3135.8,-742,,,46.64,27.32,47.5004
3422,2885.49,-3147.6,-742,,,46.64,27.32,47.5004
3846,3072.31,-3152,-742,,,46.64,27.32,47.5004
4272,3340.3,-3151.1,-740,,,46.64,27.32,47.5004
4440,3527.5,-3151.1,-739,,,46.64,27.32,47.5004
4499,3629.8,-3150.1,-737,,,46.64,27.32,47.5004
4574,3689.36,-3149.1,-736,,,46.64,27.32,47.5004
4523,3741.06,-3148.1,-734,,,46.64,27.32,47.5004
4340,3772.37,-3148,-733,,,46.64,27.32,47.5004
4281,3809.1,-3149.1,-733,,,46.64,27.32,47.5004
4258,3806.81,-3149.1,-733,,,46.64,27.32,47.5004
4426,3770.67,-3150.1,-732,,,46.64,27.32,47.5004
4530,3699.28,-3150.1,-734,,,46.64,27.32,47.5004
4496,3612.66,-3151.1,-736,,,46.64,27.32,47.5004
4471,3506.84,-3151.1,-738,,,46.64,27.32,47.5004
4519,3451.16,-3151.1,-739,,,46.64,27.32,47.5004
4243,3433.68,-3139.3,-739,,,46.64,27.32,47.5004
3940,3434.59,-3203.5,-618,,,48.18,27.32,48.717
3629,3438.62,-3196,-618,,,48.18,27.32,48.717
3503,3429.7,-3196,-619,,,48.18,27.32,48.717
3353,3393.97,-3209.5,-619,,,48.18,27.32,48.717
3244,3372.72,-3261.9,-619,,,48.18,27.32,48.717
3162,3342.36,-3188.9,-619,,,48.18,27.32,48.717
3162,3340.14,-3244.7,-619,,,48.18,27.32,48.717
3220,3322.77,-3405.6,-619,,,48.18,27.32,48.717
3308,3313.37,-3414.9,-620,,,48.18,27.32,48.717
3640,3308.47,-3413.9,-620,,,48.18,27.32,48.717
4030,3328.87,-3413.9,-620,,,48.18,27.32,48.717
4279,3333,-3412.9,-619,,,48.18,27.32,48.717
4416,3357.11,-3407.7,-618,,,48.18,27.32,48.717
4456,3354.45,-3392.1,-617,,,48.18,27.32,48.717
4553,3367.12,-3365,-617,,,48.18,27.32,48.717
4390,3347.67,-3327.9,-616,,,48.18,27.32,48.717
4248,3338.13,-3276.8,-616,,,48.18,27.32,48.717
4270,3298.72,-3240.1,-615,,,48.18,27.32,48.717
4455,3261.43,-3225.9,-614,,,48.18,27.32,48.717
4580,3206.08,-3205.3,-615,,,48.18,27.32,48.717
4568,3177.91,-3226.9,-616,,,48.18,27.32,48.717
4584,3138.65,-3169.7,-617,,,48.18,27.32,48.717
4740,3130.35,-3142.6,-617,,,48.18,27.32,48.717
4312,3148.42,-3134.8,-617,,,48.18,27.32,48.717
3742,3095.89,-3109.3,-617,,,44.35,27.32,45.6913
3494,3263.25,-3147.9,-618,,,44.35,27.32,45.6913
3376,3454.86,-3147.9,-618,,,44.35,27.32,45.6913
3254,3585.27,-3147.9,-618,,,44.35,27.32,45.6913
3203,3702.71,-3147.9,-618,,,44.35,27.32,45.6913
3125,3773.99,-3147.9,-618,,,44.35,27.32,45.6913
3213,3828.14,-3147.9,-618,,,44.35,27.32,45.6913
3507,3865.91,-3147.9,-619,,,44.35,27.32,45.6913
3954,3896.28,-3155.7,-620,,,44.35,27.32,45.6913
4601,3892.18,-3160.1,-621,,,44.35,27.32,45.6913
5002,3906.16,-3160.1,-620,,,44.35,27.32,45.6913
5033,3910.14,-3159.1,-621,,,44.35,27.32,45.6913
5082,3915.34,-3159.1,-621,,,44.35,27.32,45.6913
5098,3906.39,-3159.1,-621,,,44.35,27.32,45.6913
